id,name,pl_a,ql_a,pl_b,ql_b,pl_c,ql_c,bus_type,v_a,v_b,v_c,v_ln_base,s_base,v_min,v_max,cvr_p,cvr_q,phases,has_gen,has_load,has_cap
27,93,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,False,False
28,94,0.0,0.0,0.0,0.0,0.04,0.02,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,c,False,True,False
29,95,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,False,False
30,96,0.04,0.02,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,a,False,True,False
31,97,0.0,0.0,0.02,0.01,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,True,False
32,98,0.0,0.0,0.02,0.01,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,b,False,True,False
33,99,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,False,False
34,100,0.04,0.02,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,True,False
35,101,0.0,0.0,0.04,0.02,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,True,False
36,102,0.0,0.0,0.0,0.0,0.04,0.02,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,True,False
37,123,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,False,False
38,124,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,False,False
39,103,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,False,False
40,104,0.0,0.0,0.0,0.0,0.02,0.01,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,c,False,True,False
41,105,0.0,0.0,0.0,0.0,0.04,0.02,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,c,False,True,False
42,106,0.0,0.0,0.0,0.0,0.04,0.02,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,c,False,True,False
43,107,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,False,False
44,108,0.0,0.0,0.08,0.04,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,b,False,True,False
45,109,0.0,0.0,0.04,0.02,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,b,False,True,False
46,110,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,False,False
47,111,0.04,0.02,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,a,False,True,False
48,112,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,a,False,False,False
49,113,0.02,0.01,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,a,False,True,False
50,114,0.02,0.01,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,a,False,True,False
51,115,0.04,0.02,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,a,False,True,False
52,116,0.02,0.01,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,a,False,True,False
53,121,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,False,False
