id,name,Pb_max_a,hmax_a,bmin_a,bmax_a,nc_a,nd_a,Pb_max_b,hmax_b,bmin_b,bmax_b,nc_b,nd_b,Pb_max_c,hmax_c,bmin_c,bmax_c,nc_c,nd_c,phases
60,82,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,b
62,84,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
79,24,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,b
84,35,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
87,30,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
88,31,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
89,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,c
91,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,c
93,37,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
95,39,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
96,40,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,b
103,49,0.01575,0.01575,0.00945,0.029924999999999997,0.95,0.95,0.01575,0.01575,0.00945,0.029924999999999997,0.95,0.95,0.01575,0.01575,0.00945,0.029924999999999997,0.95,0.95,abc
104,51,0.021,0.021,0.0126,0.0399,0.95,0.95,0.021,0.021,0.0126,0.0399,0.95,0.95,0.021,0.021,0.0126,0.0399,0.95,0.95,abc
105,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,c
108,50,0.0315,0.0315,0.0189,0.059849999999999993,0.95,0.95,0.0315,0.0315,0.0189,0.059849999999999993,0.95,0.95,0.0315,0.0315,0.0189,0.059849999999999993,0.95,0.95,abc
109,45,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,b
111,21,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
112,22,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
113,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,c
116,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,c
118,11,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
121,13,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
124,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,c
125,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.010799999999999999,0.034199999999999994,0.95,0.95,c
