id,name,pl_a,ql_a,pl_b,ql_b,pl_c,ql_c,bus_type,v_a,v_b,v_c,v_ln_base,s_base,v_min,v_max,cvr_p,cvr_q,phases,has_gen,has_load,has_cap
18,17,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,c,False,False,False
19,18,0.0,0.0,0.0,0.0,0.04,0.02,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,c,False,True,False
20,19,0.0,0.0,0.0,0.0,0.02,0.01,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,c,False,True,False
21,20,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,False,False
22,21,0.04,0.02,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,a,False,True,False
23,22,0.04,0.02,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,a,False,True,False
24,23,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,False,False
25,24,0.0,0.0,0.04,0.02,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,b,False,True,False
26,25,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,False,False
27,26,0.0,0.0,0.0,0.0,0.04,0.02,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,c,False,True,False
28,27,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,False,False
29,28,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,ac,False,False,False
30,29,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,a,False,False,False
31,35,0.04,0.02,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,a,False,True,False
32,33,0.0,0.0,0.0,0.0,0.02,0.01,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,c,False,True,False
33,34,0.0,0.0,0.0,0.0,0.02,0.01,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,c,False,True,False
34,30,0.04,0.02,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,True,False
35,31,0.04,0.02,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,True,False
36,32,0.0,0.0,0.0,0.0,0.04,0.02,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,False,True,False
37,119,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,1.0,2401.77712,1000000,0.95,1.05,0,0,abc,True,False,False
38,0,0,0,0,0,0,0,PQ,1.0,1.0,1.0,2401.777119828844,1000000,0.95,1.05,0,0,abc,0.0,0.0,0.0
39,0,0,0,0,0,0,0,PQ,1.0,1.0,1.0,2401.777119828844,1000000,0.95,1.05,0,0,abc,0.0,0.0,0.0
