id,name,Pb_max_a,hmax_a,bmin_a,bmax_a,nc_a,nd_a,Pb_max_b,hmax_b,bmin_b,bmax_b,nc_b,nd_b,Pb_max_c,hmax_c,bmin_c,bmax_c,nc_c,nd_c,phases
34,102,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
35,123,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
36,124,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
37,103,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
41,107,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
42,110,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
43,121,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
56,74,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
60,78,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
61,79,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
62,80,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
63,82,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
64,83,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
65,84,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
66,85,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
69,81,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
70,88,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
71,89,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
73,91,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
75,93,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
76,95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
77,97,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
83,57,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
84,58,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
85,20,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
86,118,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
87,37,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
92,42,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
93,44,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
95,46,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
98,49,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
99,51,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
100,52,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
101,53,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
102,120,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
103,50,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
105,23,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
107,25,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
109,27,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
115,30,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
116,31,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
117,32,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
118,119,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,0.01,0.01,0.006,0.019,0.95,0.95,abc
